site,deployment,year,month,day,hour,Vel DWN,Depth DWN,DO DWN,Vel UP,Depth Up,DO UP,PAR,Solar Rad,Wind Speed,Primary Productivity 
LTER 1,13,2009,5,25,10,0.11,2.15,6.47,0.13,2.14,6.44,1114.53,0.64,0.74,-0.03
LTER 1,13,2009,5,25,11,0.08,2.47,6.79,0.14,2.15,6.59,1250.82,0.74,0.84,1.15
LTER 1,13,2009,5,25,12,0.08,2.47,6.91,0.13,2.15,6.76,1260.57,0.78,0.94,0.85
LTER 1,13,2009,5,25,13,0.08,2.46,7.17,0.12,2.13,6.75,1087.24,0.8,0.95,2.26
LTER 1,13,2009,5,25,14,0.08,2.43,7.15,0.12,2.09,6.79,1072.05,0.65,1.26,1.89
LTER 1,13,2009,5,25,15,0.08,2.39,7.14,0.13,2.06,6.76,814.28,0.49,1.9,2.05
LTER 1,13,2009,5,25,16,0.08,2.36,7.01,0.14,2.01,6.59,452.25,0.29,1.8,2.38
LTER 1,13,2009,5,25,17,0.08,2.32,6.62,0.14,1.99,6.1,113.06,0.07,1.91,2.84
LTER 1,13,2009,5,25,18,0.08,2.32,5.93,0.12,2,5.72,0.74,0,1.9,1.06
LTER 1,13,2009,5,25,19,0.08,2.33,5.44,0.11,2.02,5.56,-0.53,0,1.18,-0.49
LTER 1,13,2009,5,25,20,0.08,2.36,5.19,0.12,2.05,5.52,-0.57,0,0.84,-1.62
LTER 1,13,2009,5,25,21,0.08,2.39,5.13,0.12,2.08,5.48,-0.61,0,0.68,-1.76
LTER 1,13,2009,5,25,22,0.08,2.42,5.12,0.13,2.09,5.49,-0.66,0,0.89,-2.02
LTER 1,13,2009,5,25,23,0.09,2.43,5.07,0.12,2.1,5.61,-0.7,0,0.88,-2.8
LTER 1,13,2009,5,26,11,0.08,2.43,5.19,0.12,2.1,5.61,-0.74,0,0.68,-2.04
LTER 1,13,2009,5,26,1,0.08,2.43,5.2,0.11,2.11,5.55,-0.79,0,0.84,-1.66
LTER 1,13,2009,5,26,2,0.08,2.44,5.15,0.11,2.11,5.51,-0.83,0,0.43,-1.76
LTER 1,13,2009,5,26,3,0.08,2.43,5.09,0.12,2.08,5.51,-0.88,0,0.65,-2.07
LTER 1,13,2009,5,26,4,0.08,2.38,5.1,0.14,2.03,5.49,-0.92,0,0.65,-1.98
LTER 1,13,2009,5,26,5,0.08,2.35,5.05,0.14,2.01,5.47,-0.96,0,0.7,-2.15
LTER 1,13,2009,5,26,6,0.09,2.33,4.91,0.14,2.01,5.51,2.07,0,0.62,-3.23
LTER 1,13,2009,5,26,7,0.08,2.35,5.02,0.13,2.02,5.76,132.11,0.08,0.45,-3.73
LTER 1,13,2009,5,26,8,0.08,2.36,5.51,0.12,2.04,6.27,520.02,0.32,1.14,-3.71
LTER 1,13,2009,5,26,9,0.08,2.4,6.26,0.13,2.1,6.43,729.03,0.39,1.88,-0.86
LTER 1,13,2009,5,26,10,0.08,2.46,6.53,0.13,2.14,6.53,738.44,0.49,2.17,0.05
LTER 1,13,2009,5,26,11,0.08,2.47,6.78,0.13,2.15,6.66,754.24,0.53,2.46,0.69
LTER 1,13,2009,5,26,12,0.08,2.48,7.06,0.12,2.15,6.82,1061.73,0.55,2.39,1.36
LTER 1,13,2009,5,26,13,0.08,2.46,7.24,0.13,2.13,6.79,806.84,0.37,2.63,2.53
LTER 1,13,2009,5,26,14,0.08,2.44,7.19,0.14,2.1,6.92,1088.92,0.27,2.13,1.62
LTER 1,13,2009,5,26,15,0.08,2.41,7.39,0.15,2.08,6.84,916.27,0.43,2.06,3.21
LTER 1,13,2009,5,26,16,0.08,2.38,7.15,0.15,2.04,6.55,484.19,0.31,2.37,3.47
LTER 1,13,2009,5,26,17,0.08,2.34,6.62,0.13,2,6.03,114.64,0.08,2.36,3.08
LTER 1,13,2009,5,26,18,0.08,2.3,5.95,0.12,1.95,5.56,0.13,0,1.95,1.86
LTER 1,13,2009,5,26,19,0.08,2.29,5.29,0.11,1.98,5.41,-1.09,0,0.92,-0.52
LTER 1,13,2009,5,26,20,0.08,2.33,4.8,0.11,2.02,5.43,-1.1,0,1.61,-2.97
LTER 1,13,2009,5,26,21,0.08,2.38,4.78,0.12,2.07,5.52,-1.12,0,1.48,-3.52
LTER 1,13,2009,5,26,22,0.08,2.42,5,0.12,2.09,5.51,-1.14,0,2.06,-2.46
LTER 1,13,2009,5,26,23,0.08,2.42,5.09,0.13,2.1,5.5,-1.15,0,2.1,-2.16
LTER 1,13,2009,5,27,11,0.08,2.44,5.06,0.11,2.13,5.55,-1.17,0,2.38,-2.34
LTER 1,13,2009,5,27,1,0.08,2.47,5.06,0.11,2.13,5.53,-1.19,0,2.17,-2.24
LTER 1,13,2009,5,27,2,0.08,2.44,5.09,0.13,2.1,5.54,-1.21,0,2.01,-2.34
LTER 1,13,2009,5,27,3,0.08,2.42,5.05,0.12,2.07,5.47,-1.22,0,1.38,-2.04
LTER 1,13,2009,5,27,4,0.08,2.38,5.05,0.12,2.04,5.31,-1.24,0,2.53,-1.19
LTER 1,13,2009,5,27,5,0.08,2.34,4.85,0.12,2,5.34,-1.25,0,2.21,-2.37
LTER 1,13,2009,5,27,6,0.08,2.32,4.78,0.11,2,5.26,2.68,0,2.19,-2.14
LTER 1,13,2009,5,27,7,0.08,2.34,4.79,0.12,2.02,5.52,154.8,0.11,1.88,-3.46
LTER 1,13,2009,5,27,8,0.08,2.36,5.15,0.12,2.04,6.21,489.86,0.31,2.29,-5.28
LTER 1,13,2009,5,27,9,0.08,2.39,5.99,0.11,2.08,6.62,831.32,0.46,2.39,-2.94
LTER 1,13,2009,5,27,10,0.08,2.43,6.76,0.11,2.12,6.86,1098.88,0.65,3.09,-0.36
LTER 1,13,2009,5,27,11,0.08,2.46,7.1,0.1,2.14,6.91,1221.7,0.78,3.02,0.99
LTER 1,13,2009,5,27,12,0.08,2.47,7.4,0.1,2.16,7.04,1268.55,0.83,2.71,1.73
LTER 1,13,2009,5,27,13,0.08,2.48,7.71,0.1,2.15,6.94,1032.17,0.82,3.24,3.74
LTER 1,13,2009,5,27,14,0.08,2.46,7.5,0.1,2.12,6.78,522.83,0.46,2.22,3.48
LTER 1,13,2009,5,27,15,0.08,2.44,7.18,0.1,2.11,6.61,372.81,0.41,1.81,2.74
LTER 1,13,2009,5,27,16,0.08,2.43,6.87,0.11,2.1,6.49,321.55,0.13,1.15,1.89
LTER 1,13,2009,5,27,17,0.08,2.41,6.65,0.11,2.07,5.97,97.52,0.04,1.01,3.3
LTER 1,13,2009,5,27,18,0.08,2.38,6.45,0.11,2.03,5.5,-0.26,0,0.9,4.58
LTER 1,13,2009,5,27,19,0.08,2.35,6.24,0.12,2.01,5.37,-1.31,0,1.12,4.32
LTER 1,13,2009,5,27,20,0.08,2.34,6.03,0.11,2.03,5.33,-1.32,0,1.43,3.39
LTER 1,13,2009,5,27,21,0.08,2.37,5.82,0.11,2.06,5.24,-1.32,0,0.92,2.86
LTER 1,13,2009,5,27,22,0.08,2.4,5.61,0.12,2.09,5.43,-1.32,0,0.63,0.97
LTER 1,13,2009,5,27,23,0.08,2.44,5.41,0.11,2.13,5.5,-1.32,0,1.4,-0.38
LTER 1,13,2009,5,28,11,0.08,2.46,5.23,0.11,2.13,5.48,-1.32,0,0.96,-1.22
LTER 1,13,2009,5,28,1,0.08,2.46,-99999,0.11,2.13,5.36,-1.32,0,0.5,-99999
LTER 1,13,2009,5,28,2,0.08,2.44,-99999,0.11,2.11,5.37,-1.32,0,0.67,-99999
LTER 1,13,2009,5,28,3,0.08,2.43,-99999,0.11,2.09,5.39,-1.32,0,0.87,-99999
LTER 1,13,2009,5,28,4,0.08,2.41,-99999,0.12,2.07,5.41,-1.32,0,1.05,-99999
LTER 1,13,2009,5,28,5,0.09,2.39,-99999,0.11,2.05,5.31,-1.32,0,1.27,-99999
LTER 1,13,2009,5,28,6,0.08,2.35,-99999,0.11,2.01,5.31,2.76,0,0.94,-99999
LTER 1,13,2009,5,28,7,0.08,2.34,-99999,0.11,2.02,5.58,139.88,0.09,0.87,-99999
LTER 1,13,2009,5,28,8,0.08,2.36,-99999,0.11,2.05,6.31,450.08,0.29,1.24,-99999
LTER 1,13,2009,5,28,9,0.08,2.4,-99999,0.12,2.08,6.74,810.44,0.48,0.82,-99999
LTER 1,13,2009,5,28,10,0.08,2.43,-99999,0.11,2.11,6.91,1069.46,0.64,0.73,-99999
LTER 1,13,2009,5,28,11,0.08,2.44,-99999,0.11,2.13,7.01,1205.77,0.74,0.61,-99999
LTER 1,13,2009,5,28,12,0.08,2.46,-99999,0.11,2.14,7.01,1238.31,0.77,1.64,-99999
LTER 1,13,2009,5,28,13,0.08,2.47,-99999,0.1,2.14,7.08,1219.04,0.79,3.06,-99999
LTER 1,13,2009,5,28,14,0.08,2.47,-99999,0.1,2.15,7.02,1063.99,0.66,2.15,-99999
LTER 1,13,2009,5,28,15,0.08,2.46,-99999,0.1,2.12,6.84,729.06,0.52,0.76,-99999
LTER 1,13,2009,5,28,16,0.08,2.43,-99999,0.12,2.09,6.52,422.64,0.29,0.78,-99999
LTER 1,13,2009,5,28,17,0.08,2.41,-99999,0.1,2.09,5.99,100.49,0.06,1.23,-99999
LTER 1,13,2009,5,28,18,0.08,2.42,-99999,0.09,2.09,5.62,-0.32,0,1.55,-99999
LTER 1,13,2009,5,28,19,0.08,2.4,-99999,0.1,2.06,5.63,-1.37,0,0.73,-99999
LTER 1,13,2009,5,28,20,0.08,2.39,-99999,0.1,2.07,5.54,-1.37,0,1.09,-99999
LTER 1,13,2009,5,28,21,0.08,2.4,-99999,0.1,2.08,5.57,-1.36,0,0.83,-99999
LTER 1,13,2009,5,28,22,0.08,2.42,-99999,0.11,2.11,5.56,-1.36,0,0.9,-99999
LTER 1,13,2009,5,28,23,0.08,2.45,-99999,0.1,2.12,5.55,-1.36,0,1.2,-99999
LTER 1,13,2009,5,29,11,0.08,2.45,-99999,0.1,2.14,5.65,-1.35,0,0.72,-99999
LTER 1,13,2009,5,29,1,0.08,2.47,-99999,0.1,2.16,5.62,-1.35,0,1.32,-99999
LTER 1,13,2009,5,29,2,0.08,2.48,-99999,0.1,2.14,5.57,-1.35,0,1.42,-99999
LTER 1,13,2009,5,29,3,0.08,2.44,-99999,0.11,2.1,5.55,-1.35,0,0.8,-99999
LTER 1,13,2009,5,29,4,0.08,2.42,-99999,0.11,2.08,5.57,-1.34,0,1.2,-99999
LTER 1,13,2009,5,29,5,0.08,2.39,-99999,0.11,2.05,5.61,-1.34,0,0.7,-99999
LTER 1,13,2009,5,29,6,0.08,2.37,-99999,0.11,2.04,5.55,2.38,0,0.83,-99999
LTER 1,13,2009,5,29,7,0.08,2.36,-99999,0.11,2.03,5.84,134.75,0.09,1.06,-99999
LTER 1,13,2009,5,29,8,0.08,2.37,-99999,0.1,2.05,6.4,442.85,0.29,1.29,-99999
LTER 1,13,2009,5,29,9,0.08,2.39,-99999,0.11,2.07,6.71,805.51,0.48,0.81,-99999
LTER 1,13,2009,5,29,10,0.08,2.42,-99999,0.11,2.1,6.92,1064.63,0.63,0.89,-99999
LTER 1,13,2009,5,29,11,0.08,2.44,-99999,0.1,2.13,6.98,1149.9,0.72,1.29,-99999
LTER 1,13,2009,5,29,12,0.09,2.47,-99999,0.11,2.15,6.89,1238.87,0.82,3.52,-99999
LTER 1,13,2009,5,29,13,0.11,2.48,-99999,0.11,2.15,6.89,1148.81,0.73,4.06,-99999
LTER 1,13,2009,5,29,14,0.1,2.47,-99999,0.11,2.14,6.76,1048.63,0.66,2.98,-99999
LTER 1,13,2009,5,29,15,0.1,2.47,-99999,0.11,2.14,6.62,730.54,0.45,3.47,-99999
LTER 1,13,2009,5,29,16,0.1,2.45,-99999,0.12,2.12,6.34,295.47,0.18,2.79,-99999
LTER 1,13,2009,5,29,17,0.1,2.44,-99999,0.11,2.12,6.05,66.65,0.04,2.25,-99999
LTER 1,13,2009,5,29,18,0.09,2.45,-99999,0.1,2.14,5.92,-0.93,0,1.01,-99999
LTER 1,13,2009,5,29,19,0.09,2.46,-99999,0.1,2.12,5.87,-1.33,0,1.03,-99999
LTER 1,13,2009,5,29,20,0.08,2.43,-99999,0.1,2.1,5.9,-1.32,0,1.27,-99999
LTER 1,13,2009,5,29,21,0.09,2.43,-99999,0.12,2.1,5.96,-1.32,0,1.2,-99999
LTER 1,13,2009,5,29,22,0.1,2.44,-99999,0.11,2.12,5.95,-1.32,0,2.8,-99999
LTER 1,13,2009,5,29,23,0.1,2.46,-99999,0.1,2.14,5.93,-1.33,0,2.38,-99999
LTER 1,13,2009,5,30,11,0.1,2.47,-99999,0.11,2.15,5.96,-1.33,0,2.19,-99999
LTER 1,13,2009,5,30,1,0.09,2.46,-99999,0.11,2.13,5.92,-1.33,0,1.53,-99999
LTER 1,13,2009,5,30,2,0.09,2.45,-99999,0.11,2.13,5.91,-1.33,0,1.55,-99999
LTER 1,13,2009,5,30,3,0.09,2.46,-99999,0.11,2.12,5.92,-1.33,0,1.39,-99999
LTER 1,13,2009,5,30,4,0.09,2.44,-99999,0.1,2.1,5.84,-1.33,0,0.86,-99999
LTER 1,13,2009,5,30,5,0.08,2.42,-99999,0.11,2.08,5.83,-1.33,0,0.83,-99999
LTER 1,13,2009,5,30,6,0.08,2.4,-99999,0.1,2.07,5.87,2.44,0,1.06,-99999
LTER 1,13,2009,5,30,7,0.09,2.4,-99999,0.11,2.07,6.1,130.71,0.08,1.2,-99999
LTER 1,13,2009,5,30,8,0.08,2.4,-99999,0.11,2.07,6.43,390.79,0.24,1.08,-99999
LTER 1,13,2009,5,30,9,0.08,2.39,-99999,0.1,2.07,6.68,750.71,0.42,0.77,-99999
LTER 1,13,2009,5,30,10,0.09,2.4,-99999,0.11,2.08,6.79,979.64,0.6,3.65,-99999
LTER 1,13,2009,5,30,11,0.1,2.42,-99999,0.12,2.1,6.75,1106.95,0.69,4.05,-99999
LTER 1,13,2009,5,30,12,0.1,2.43,-99999,0.13,2.11,6.68,1050.31,0.68,2.49,-99999
LTER 1,13,2009,5,30,13,0.1,2.44,-99999,0.12,2.12,6.69,1094.37,0.68,2.81,-99999
LTER 1,13,2009,5,30,14,0.1,2.45,-99999,0.12,2.14,6.62,776.79,0.47,4.16,-99999
LTER 1,13,2009,5,30,15,0.1,2.46,-99999,0.11,2.13,6.53,551.71,0.32,1.38,-99999
